名称				                                               类型		        含义	
glb_Pos			                                                 vec3	           顶点的Position属性
glb_Color								 vec3	           顶点的Color属性
glb_Normal		                                                 vec3	           顶点的Normal属性
glb_Tangent								 vec3	           顶点的Tangent属性
glb_Binormal								 vec3              顶点的Binormal属性
glb_TexCoord	                                                 vec2	           顶点对应的纹理坐标
glb_ProjM                                                        mat4              投影变换矩阵
glb_ViewM                                                        mat4              相机变换矩阵
glb_WorldM                                                       mat4              世界变换矩阵
glb_ShadowM0							 mat4              阴影变换矩阵0
glb_ShadowM1							 mat4              阴影变换矩阵1
glb_ShadowM2							 mat4              阴影变换矩阵2
glb_ShadowM3							 mat4              阴影变换矩阵3
glb_ShadowSplit0						 float		   分割z值0
glb_ShadowSplit1						 float		   分割z值1
glb_ShadowSplit2						 float		   分割z值2
glb_ShadowMIndex						 int		   当前绘制的阴影贴图下标
glb_Trans_Inv_WorldM                                             mat4              世界变换矩阵的逆矩阵的转置矩阵
glb_DiffuseTex                                                   sampler2D         漫反射贴图
glb_AlphaTex						         sampler2D	   Alpha混合贴图
glb_NormalTex							 sampler2D         法线贴图
glb_ShadowTex0						         sampler2D	   Shadow Map 0
glb_ShadowTex1							 sampler2D         Shadow Map 1
glb_ShadowTex2							 sampler2D         Shadow Map 2
glb_ShadowTex3							 sampler2D         Shadow Map 3
glb_HDRSceneTex							 sampler2D         HDR贴图
glb_HighLightTex						 sampler2D	   HDR high light texture
glb_Bloom0							 sampler2D	   Bloom texture after h-blur
glb_Bloom1							 sampler2D	   Bloom texture after h-blur and v-blur
glb_Material_Ambient                                             vec3              环境光材质
glb_Material_Diffuse                                             vec3              漫反射光材质
glb_Material_Specular                                            vec3              镜面反射光材质
glb_Material_Emission                                            vec3              发光材质
glb_Material_Pow                                                 float             镜面反射光系数
glb_Material_Albedo						 vec3	 	   基本颜色（非金属的基本颜色/金属的反射率）
glb_Material_Roughness						 float	           粗糙度
glb_Material_Metallic						 float		   金属度
glb_EyePos                                                       vec3              视点位置
glb_LookAt							 vec3              相机观察方向
glb_GlobalLight_Ambient                                        vec3              全局环境光颜色
glb_ParallelLight_Dir                                            vec3              平行光方向
glb_ParallelLight                                      vec3              平行光颜色
glb_AverageLum							 float		   HDR场景的平均亮度
glb_FarClip							 float		   远裁剪面
glb_ScreenWidth							 float		   屏幕宽度
glb_ScreenHeight					         float		   屏幕高度
glb_DepthMap							 sampler2D         场景的深度贴图
glb_RandomRotateMap					         sampler2D	   随机旋转向量贴图（AO使用）
glb_AOMap							 sampler2D         Ambient Occlusion Map
glb_BiBlurMap							 sampler2D         Blur map(AO使用)
glb_HighLightBase						 float	     	   高光过滤的基底高光
