名称				                                               类型		        含义	
glb_Pos			                                                 vec3	           顶点的Position属性
glb_Color								 vec3	           顶点的Color属性
glb_Normal		                                                 vec3	           顶点的Normal属性
glb_TexCoord	                                                 vec2	           顶点对应的纹理坐标
glb_ProjM                                                        mat4              投影变换矩阵
glb_ViewM                                                        mat4              相机变换矩阵
glb_WorldM                                                       mat4              世界变换矩阵
glb_ShadowM
glb_Trans_Inv_WorldM                                             mat4              世界变换矩阵的逆矩阵的转置矩阵
glb_DiffuseTex                                                   sampler2D         漫反射贴图
glb_AlphaTex						         sampler2D	   Alpha混合贴图
glb_ShadowTex						         sampler2D	   Shadow Map
glb_Material_Ambient                                             vec3              环境光材质
glb_Material_Diffuse                                             vec3              漫反射光材质
glb_Material_Specular                                            vec3              镜面反射光材质
glb_Material_Emission                                            vec3              发光材质
glb_Material_Pow                                                 float             镜面反射光系数
glb_EyePos                                                       vec3              视点位置
glb_ParallelLight_Dir                                            vec3              平行光方向
glb_ParallelLight_Ambient                                        vec3              平行光环境光颜色
glb_ParallelLight_Diffuse                                        vec3              平行光漫反射颜色
glb_ParallelLight_Specular                                       vec3              平行光镜面反射颜色
